landmark_name,image_url,cluster1,cluster2,cluster3
Limelight,landmark/Limelight/3.jpg,2,0,0
Linko,landmark/Linko/2.jpg,1,1,1
Lisboa Story Centre,landmark/Lisboa Story Centre/1.jpg,2,0,0
Lisboa Story Centre,landmark/Lisboa Story Centre/3.jpg,0,3,1
Ljosanott,landmark/Ljosanott/1.jpg,3,3,2
Ljosanott,landmark/Ljosanott/2.jpg,3,3,2
Ljosanott,landmark/Ljosanott/3.jpg,3,3,2
Lost Lagoon,landmark/Lost Lagoon/1.jpg,1,3,1
Lost Lagoon,landmark/Lost Lagoon/2.jpg,1,1,3
Lost Lagoon,landmark/Lost Lagoon/3.jpg,1,0,0
Louisiane Brewhouse,landmark/Louisiane Brewhouse/2.jpg,2,1,3
Louisiane Brewhouse,landmark/Louisiane Brewhouse/3.jpg,1,2,0
Lovers Beach,landmark/Lovers Beach/1.jpg,2,3,1
Lovers Beach,landmark/Lovers Beach/2.jpg,0,1,2
Lovers Beach,landmark/Lovers Beach/3.jpg,0,1,2
Lucaya Beach,landmark/Lucaya Beach/1.jpg,2,0,0
Lucaya Beach,landmark/Lucaya Beach/3.jpg,0,2,1
Lux Golf Center,landmark/Lux Golf Center/1.jpg,1,0,0
Lux Golf Center,landmark/Lux Golf Center/3.jpg,2,0,3
Maa Kandu,landmark/Maa Kandu/2.jpg,2,1,1
Maa Kandu,landmark/Maa Kandu/3.jpg,0,0,1
Maafannu Buru,landmark/Maafannu Buru/2.jpg,1,3,1
Maafannu Buru,landmark/Maafannu Buru/3.jpg,2,2,1
Maafushi Jetty,landmark/Maafushi Jetty/1.jpg,2,2,3
Maafushi Jetty,landmark/Maafushi Jetty/2.jpg,2,3,3
Mal Artha Gading,landmark/Mal Artha Gading/1.jpg,0,3,2
Mal Artha Gading,landmark/Mal Artha Gading/2.jpg,3,2,0
Mal Artha Gading,landmark/Mal Artha Gading/3.jpg,2,2,2
Mandala,landmark/Mandala/1.jpg,3,0,0
Mandala,landmark/Mandala/2.jpg,1,1,3
Mandala,landmark/Mandala/3.jpg,3,2,3
Marex,landmark/Marex/1.jpg,3,0,1
Marex,landmark/Marex/2.jpg,2,2,0
Maxine,landmark/Maxine/1.jpg,2,3,0
Maxine,landmark/Maxine/2.jpg,3,3,0
Maxine,landmark/Maxine/3.jpg,2,1,2
Maybe Later,landmark/Maybe Later/1.jpg,3,1,1
Maybe Later,landmark/Maybe Later/2.jpg,3,1,1
Maybe Later,landmark/Maybe Later/3.jpg,0,2,3
Meir,landmark/Meir/1.jpg,1,0,0
Meir,landmark/Meir/2.jpg,1,1,2
Meir,landmark/Meir/3.jpg,0,0,1
MEO Arena,landmark/MEO Arena/1.jpg,1,2,0
MEO Arena,landmark/MEO Arena/2.jpg,2,2,1
MEO Arena,landmark/MEO Arena/3.jpg,0,0,0
Miniature World,landmark/Miniature World/1.jpg,2,3,2
Miniature World,landmark/Miniature World/2.jpg,2,2,3
Miniature World,landmark/Miniature World/3.jpg,0,0,0
MOJO,landmark/MOJO/1.jpg,1,2,1
Monticulo,landmark/Monticulo/1.jpg,1,2,2
Monticulo,landmark/Monticulo/2.jpg,1,1,1
Monticulo,landmark/Monticulo/3.jpg,0,2,3
Monument Grand-Duchesse Charlotte,landmark/Monument Grand-Duchesse Charlotte/1.jpg,0,2,1
Monument Grand-Duchesse Charlotte,landmark/Monument Grand-Duchesse Charlotte/2.jpg,2,0,2
Monument Grand-Duchesse Charlotte,landmark/Monument Grand-Duchesse Charlotte/3.jpg,0,1,1
